type,code,name,ISIN,start,market,group,CFI
上市認購(售)權證,077519,振樺電統一23購01,TW22Z0775199,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07751P,臺股指中信26售02,TW22Z07751P0,2022/08/02,上市,,RWICPE
上市認購(售)權證,077520,聯發科第一29購02,TW22Z0775207,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077521,華新凱基1C購11,TW22Z0775215,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077522,美時凱基1C購04,TW22Z0775223,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077523,聯電凱基1C購11,TW22Z0775231,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077524,鴻海凱基21購03,TW22Z0775249,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077525,聯發科凱基1C購13,TW22Z0775256,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077526,強茂凱基1C購02,TW22Z0775264,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077527,長榮凱基1C購20,TW22Z0775272,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077528,萬海凱基1C購03,TW22Z0775280,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077529,萬海凱基1C購04,TW22Z0775298,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07752P,友達國票24售01,TW22Z07752P8,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077530,長榮航凱基22購03,TW22Z0775306,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077531,晶豪科凱基1C購02,TW22Z0775314,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077532,大立光凱基24購02,TW22Z0775322,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077533,欣興凱基21購06,TW22Z0775330,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077534,景碩凱基1C購06,TW22Z0775348,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077535,世芯凱基21購01,TW22Z0775355,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077536,康普凱基22購01,TW22Z0775363,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077537,三福化凱基1C購03,TW22Z0775371,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077538,天鈺凱基1C購01,TW22Z0775389,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077539,矽力凱基21購03,TW22Z0775397,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07753P,長榮航國票24售01,TW22Z07753P6,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077540,晶碩凱基1C購02,TW22Z0775405,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077541,AES凱基1C購01,TW22Z0775413,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077542,南電凱基1C購07,TW22Z0775421,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077543,振樺電凱基1C購01,TW22Z0775439,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077544,臺股指凱基23購14,TW22Z0775447,2022/06/16,上市,,RWICCE
上市認購(售)權證,077545,臺股指凱基23購15,TW22Z0775454,2022/06/16,上市,,RWICCE
上市認購(售)權證,077546,T50反1元大23購03,TW22Z0775462,2022/06/16,上市,,RWBCCA
上市認購(售)權證,077547,T50反1元大24購03,TW22Z0775470,2022/06/16,上市,,RWBCCA
上市認購(售)權證,077548,臺指反元大24購03,TW22Z0775488,2022/06/16,上市,,RWBCCA
上市認購(售)權證,077549,華新元大1C購09,TW22Z0775496,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07754P,建漢國票24售01,TW22Z07754P4,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077550,華新元大1C購10,TW22Z0775504,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077551,華新元大21購12,TW22Z0775512,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077552,上銀元大1C購05,TW22Z0775520,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077553,南港元大1C購01,TW22Z0775538,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077554,聯電元大1C購12,TW22Z0775546,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077555,華通元大21購06,TW22Z0775553,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077556,鴻海元大1C購13,TW22Z0775561,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077557,鴻海元大1C購14,TW22Z0775579,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077558,鴻海元大21購15,TW22Z0775587,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077559,台亞元大24購02,TW22Z0775595,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07755P,致伸國票23售04,TW22Z07755P1,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077560,友達元大21購08,TW22Z0775603,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077561,京元電元大1C購02,TW22Z0775611,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077562,立隆電元大1C購02,TW22Z0775629,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077563,陽明元大1C購16,TW22Z0775637,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077564,陽明元大21購03,TW22Z0775645,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077565,萬海元大1C購09,TW22Z0775652,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077566,萬海元大1C購10,TW22Z0775660,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077567,台驊控元大21購02,TW22Z0775678,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077568,晶豪科元大1C購05,TW22Z0775686,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077569,晶豪科元大21購03,TW22Z0775694,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07756P,中磊國票23售05,TW22Z07756P9,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077570,大立光元大24購03,TW22Z0775702,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077571,智原元大1C購06,TW22Z0775710,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077572,智原元大1C購07,TW22Z0775728,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077573,智原元大21購02,TW22Z0775736,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077574,三福化元大1C購04,TW22Z0775744,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077575,愛普元大1C購03,TW22Z0775751,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077576,世紀鋼元大1C購04,TW22Z0775769,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077577,新唐國票21購05,TW22Z0775777,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077578,彩晶國票1C購01,TW22Z0775785,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077579,威鋒電國票21購01,TW22Z0775793,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07757P,愛普國票22售02,TW22Z07757P7,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077580,振樺電國票21購01,TW22Z0775801,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077581,元日2X元富1C購02,TW22Z0775819,2022/06/16,上市,,RWBCCA
上市認購(售)權證,077582,智原元富21購01,TW22Z0775827,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077583,南電元富1C購01,TW22Z0775835,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077584,鴻海麥證23購02,TW22Z0775843,2022/06/16,上市,,RWSCCE
上市認購(售)權證,077585,智邦麥證1C購01,TW22Z0775850,2022/06/16,上市,,RWSCCE
上市認購(售)權證,077586,華航麥證21購01,TW22Z0775868,2022/06/16,上市,,RWSCCE
上市認購(售)權證,077587,金像電富邦25購01,TW22Z0775876,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077588,智原富邦22購01,TW22Z0775884,2022/06/16,上市,,RWSCCA
上市認購(售)權證,077589,智原富邦24購01,TW22Z0775892,2022/06/16,上市,,RWSCCA
上市認購(售)權證,07758P,台積電群益23售08,TW22Z07758P5,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077590,臺股指富邦22購02,TW22Z0775900,2022/06/16,上市,,RWICCE
上市認購(售)權證,077591,臺股指富邦23購02,TW22Z0775918,2022/06/16,上市,,RWICCE
上市認購(售)權證,077592,萬海中信1C購02,TW22Z0775926,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077593,智原中信1C購01,TW22Z0775934,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077594,元晶中信21購01,TW22Z0775942,2022/06/17,上市,,RWSCCE
上市認購(售)權證,077595,智能車永豐1C購01,TW22Z0775959,2022/06/17,上市,,RWBCCA
上市認購(售)權證,077596,陽明永豐1C購05,TW22Z0775967,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077597,慧洋永豐1C購02,TW22Z0775975,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077598,聯詠永豐1C購02,TW22Z0775983,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077599,東哥永豐1C購01,TW22Z0775991,2022/06/17,上市,,RWSCCA
上市認購(售)權證,07759P,陽明群益23售04,TW22Z07759P3,2022/08/02,上市,,RWSCPE
上市認購(售)權證,077600,金像電康和22購01,TW22Z0776007,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077601,長榮康和1C購04,TW22Z0776015,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077602,長榮康和22購01,TW22Z0776023,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077603,萬海康和22購01,TW22Z0776031,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077604,長榮航康和1C購07,TW22Z0776049,2022/06/17,上市,,RWSCCA
上市認購(售)權證,077605,欣興康和24購01,TW22Z0776056,2022/06/17,上市,,RWSCCA
